source,target,weight
AFET,Bardo-Phase,1.0
AFET,CREP,2.0
AFET,Diamond Architecture,1.0
AFET,FIT,2.0
AFET,Implosion,1.0
AFET,MOR,4.0
AFET,Metastabilität,10.0
AFET,Nullkern,8.0
AFET,Resonanzpfad,1.0
AFET,Schwellenfeld,1.0
AFET,UTAC,10.0
AFET,v_RIG,9.0
AFET,β,15.0
AFET,σ_Φ,16.0
Bardo-Phase,CREP,1.0
Bardo-Phase,Diamond Architecture,1.0
Bardo-Phase,FIT,1.0
Bardo-Phase,Implosion,1.0
Bardo-Phase,MOR,1.0
Bardo-Phase,Metastabilität,1.0
Bardo-Phase,Nullkern,1.0
Bardo-Phase,Resonanzpfad,1.0
Bardo-Phase,Schwellenfeld,1.0
Bardo-Phase,UTAC,1.0
Bardo-Phase,v_RIG,1.0
Bardo-Phase,β,1.0
Bardo-Phase,σ_Φ,1.0
CREP,Diamond Architecture,1.0
CREP,FIT,9.0
CREP,Implosion,7.0
CREP,MOR,6.0
CREP,Metastabilität,1.0
CREP,Nullkern,6.0
CREP,Resonanzpfad,1.0
CREP,Schwellenfeld,1.0
CREP,UTAC,33.0
CREP,v_RIG,12.0
CREP,β,34.0
CREP,σ_Φ,3.0
Diamond Architecture,FIT,1.0
Diamond Architecture,Implosion,1.0
Diamond Architecture,MOR,1.0
Diamond Architecture,Metastabilität,1.0
Diamond Architecture,Nullkern,1.0
Diamond Architecture,Resonanzpfad,1.0
Diamond Architecture,Schwellenfeld,1.0
Diamond Architecture,UTAC,1.0
Diamond Architecture,v_RIG,1.0
Diamond Architecture,β,1.0
Diamond Architecture,σ_Φ,1.0
FIT,Implosion,4.0
FIT,MOR,8.0
FIT,Metastabilität,1.0
FIT,Nullkern,3.0
FIT,Resonanzpfad,1.0
FIT,Schwellenfeld,1.0
FIT,UTAC,13.0
FIT,v_RIG,6.0
FIT,β,11.0
FIT,σ_Φ,2.0
Implosion,MOR,5.0
Implosion,Metastabilität,1.0
Implosion,Nullkern,3.0
Implosion,Resonanzpfad,2.0
Implosion,Schwellenfeld,1.0
Implosion,UTAC,16.0
Implosion,v_RIG,8.0
Implosion,β,16.0
Implosion,σ_Φ,1.0
MOR,Metastabilität,3.0
MOR,Nullkern,3.0
MOR,Resonanzpfad,1.0
MOR,Schwellenfeld,1.0
MOR,UTAC,33.0
MOR,v_RIG,8.0
MOR,β,32.0
MOR,σ_Φ,4.0
Metastabilität,Nullkern,4.0
Metastabilität,Resonanzpfad,1.0
Metastabilität,Schwellenfeld,1.0
Metastabilität,UTAC,7.0
Metastabilität,v_RIG,7.0
Metastabilität,β,8.0
Metastabilität,σ_Φ,6.0
Nullkern,Resonanzpfad,6.0
Nullkern,Schwellenfeld,1.0
Nullkern,UTAC,11.0
Nullkern,v_RIG,12.0
Nullkern,β,15.0
Nullkern,σ_Φ,4.0
Resonanzpfad,Schwellenfeld,1.0
Resonanzpfad,UTAC,6.0
Resonanzpfad,v_RIG,4.0
Resonanzpfad,β,8.0
Resonanzpfad,σ_Φ,1.0
Schwellenfeld,UTAC,1.0
Schwellenfeld,v_RIG,1.0
Schwellenfeld,β,1.0
Schwellenfeld,σ_Φ,1.0
UTAC,v_RIG,26.0
UTAC,β,154.0
UTAC,σ_Φ,6.0
v_RIG,β,39.0
v_RIG,σ_Φ,9.0
β,σ_Φ,13.0
