term,AFET,Bardo-Phase,CREP,Diamond Architecture,FIT,Implosion,K₂,MOR,Metastabilität,Nullkern,Resonanzpfad,Schwellenfeld,UTAC,v_RIG,β,μ,σ_Φ,ω
AFET,0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,10.0,8.0,1.0,1.0,10.0,9.0,15.0,1.0,16.0,2.0
Bardo-Phase,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CREP,2.0,1.0,0,1.0,9.0,7.0,1.0,6.0,1.0,6.0,3.0,1.0,41.0,12.0,41.0,6.0,3.0,3.0
Diamond Architecture,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FIT,2.0,1.0,9.0,1.0,0,4.0,1.0,8.0,1.0,3.0,1.0,1.0,13.0,6.0,11.0,5.0,2.0,2.0
Implosion,1.0,1.0,7.0,1.0,4.0,0,1.0,5.0,1.0,3.0,2.0,1.0,16.0,8.0,16.0,7.0,1.0,5.0
K₂,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MOR,4.0,1.0,6.0,1.0,8.0,5.0,1.0,0,3.0,3.0,1.0,1.0,33.0,8.0,34.0,5.0,4.0,1.0
Metastabilität,10.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0,4.0,1.0,1.0,7.0,7.0,8.0,1.0,6.0,1.0
Nullkern,8.0,1.0,6.0,1.0,3.0,3.0,1.0,3.0,4.0,0,6.0,1.0,11.0,12.0,15.0,1.0,4.0,2.0
Resonanzpfad,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,0,1.0,8.0,4.0,10.0,1.0,1.0,1.0
Schwellenfeld,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0
UTAC,10.0,1.0,41.0,1.0,13.0,16.0,1.0,33.0,7.0,11.0,8.0,1.0,0,26.0,179.0,15.0,6.0,5.0
v_RIG,9.0,1.0,12.0,1.0,6.0,8.0,1.0,8.0,7.0,12.0,4.0,1.0,26.0,0,39.0,14.0,9.0,5.0
β,15.0,1.0,41.0,1.0,11.0,16.0,1.0,34.0,8.0,15.0,10.0,1.0,179.0,39.0,0,23.0,13.0,5.0
μ,1.0,1.0,6.0,1.0,5.0,7.0,1.0,5.0,1.0,1.0,1.0,1.0,15.0,14.0,23.0,0,1.0,3.0
σ_Φ,16.0,1.0,3.0,1.0,2.0,1.0,1.0,4.0,6.0,4.0,1.0,1.0,6.0,9.0,13.0,1.0,0,2.0
ω,2.0,1.0,3.0,1.0,2.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,5.0,3.0,2.0,0
