term,degree,betweenness,pagerank
AFET,14.0,0.0,0.06666666666666667
Bardo-Phase,14.0,0.0,0.06666666666666667
CREP,14.0,0.0,0.06666666666666667
Diamond Architecture,14.0,0.0,0.06666666666666667
FIT,14.0,0.0,0.06666666666666667
Implosion,14.0,0.0,0.06666666666666667
MOR,14.0,0.0,0.06666666666666667
Metastabilität,14.0,0.0,0.06666666666666667
Nullkern,14.0,0.0,0.06666666666666667
Resonanzpfad,14.0,0.0,0.06666666666666667
Schwellenfeld,14.0,0.0,0.06666666666666667
UTAC,14.0,0.0,0.06666666666666667
v_RIG,14.0,0.0,0.06666666666666667
β,14.0,0.0,0.06666666666666667
σ_Φ,14.0,0.0,0.06666666666666667
