date,lat,lon,precipitation_mm,evapotranspiration_mm,spi,region
2024-01-01,-5.0,-60.0,180.5,95.2,0.12,central_amazon
2024-02-01,-5.0,-60.0,195.3,98.1,0.45,central_amazon
2024-03-01,-5.0,-60.0,165.2,92.3,-0.23,central_amazon
2024-04-01,-5.0,-60.0,140.1,88.7,-0.85,central_amazon
2024-05-01,-5.0,-60.0,120.4,85.2,-1.25,central_amazon
2024-06-01,-5.0,-60.0,95.8,82.1,-1.65,central_amazon
2024-07-01,-5.0,-60.0,85.3,79.5,-1.89,central_amazon
2024-08-01,-5.0,-60.0,78.2,76.8,-2.15,central_amazon
2024-09-01,-5.0,-60.0,92.5,80.3,-1.72,central_amazon
2024-10-01,-5.0,-60.0,125.7,87.9,-0.95,central_amazon
2024-11-01,-5.0,-60.0,158.4,93.5,-0.35,central_amazon
2024-12-01,-5.0,-60.0,175.9,96.8,0.08,central_amazon
