constant1,constant2,value1,value2,formula,v_pred,deviation,relative_error,sigma_discrepancy
alpha_inv,phi,137.03599917759013,1.618033988749895,c / (alpha_inv · phi),1352.06755689621,17.932443103790092,0.013089374528313935,1.7932443103790092
alpha_inv,sqrt3,137.03599917759013,1.7320508075688772,c / (alpha_inv · sqrt3),1263.0641391026882,106.93586089731184,0.07805537291774586,10.693586089731184
alpha_inv,sqrt2,137.03599917759013,1.4142135623730951,c / (alpha_inv · sqrt2),1546.93132660465,176.93132660464994,0.12914695372602186,17.693132660464993
proton_electron_mass_ratio,one_seventh,1836.1526734215265,0.14285714285714285,c / (proton_electron_mass_ratio · one_seventh),1142.9045287881872,227.09547121181276,0.16576311767285604,22.709547121181277
proton_electron_mass_ratio,one_tenth,1836.1526734215265,0.1,c / (proton_electron_mass_ratio · one_tenth),1632.7207554116958,262.7207554116958,0.19176697475306262,26.272075541169578
alpha_inv,sqrt5,137.03599917759013,2.23606797749979,c / (alpha_inv · sqrt5),978.365275187304,391.63472481269605,0.2858647626370044,39.16347248126961
alpha_inv,zeta3,137.03599917759013,1.2020569,c / (alpha_inv · zeta3),1819.9564946918067,449.9564946918067,0.32843539758526036,44.99564946918067
alpha_inv,phi_squared,137.03599917759013,2.618033988749895,c / (alpha_inv · phi_squared),835.6237052478899,534.3762947521101,0.39005568960008036,53.43762947521101
alpha_inv,e,137.03599917759013,2.718281828459045,c / (alpha_inv · e),804.8066389732188,565.1933610267812,0.4125498985596943,56.51933610267812
alpha_inv,pi,137.03599917759013,3.141592653589793,c / (alpha_inv · pi),696.3637566583618,673.6362433416382,0.4917052871106848,67.36362433416382
alpha_inv,strong_coupling,137.03599917759013,1.0,c / (alpha_inv · strong_coupling),2187.6912621440997,817.6912621440997,0.5968549358716057,81.76912621440997
alpha_inv,phi_cubed,137.03599917759013,4.23606797749979,c / (alpha_inv · phi_cubed),516.4438516483199,853.5561483516801,0.6230336849282336,85.35561483516801
proton_electron_mass_ratio,one_third,1836.1526734215265,0.3333333333333333,c / (proton_electron_mass_ratio · one_third),489.8162266235088,880.1837733764912,0.6424699075740812,88.01837733764913
proton_electron_mass_ratio,euler_gamma,1836.1526734215265,0.5772156649,c / (proton_electron_mass_ratio · euler_gamma),282.86147703468123,1087.1385229653188,0.7935317685878239,108.71385229653188
proton_electron_mass_ratio,phi_inv,1836.1526734215265,0.6180339887498948,c / (proton_electron_mass_ratio · phi_inv),264.17976763935286,1105.8202323606472,0.8071680528179906,110.58202323606471
proton_electron_mass_ratio,strong_coupling,1836.1526734215265,1.0,c / (proton_electron_mass_ratio · strong_coupling),163.27207554116958,1206.7279244588303,0.8808233025246937,120.67279244588303
proton_electron_mass_ratio,zeta3,1836.1526734215265,1.2020569,c / (proton_electron_mass_ratio · zeta3),135.8272437362737,1234.1727562637263,0.9008560264698733,123.41727562637263
proton_electron_mass_ratio,sqrt2,1836.1526734215265,1.4142135623730951,c / (proton_electron_mass_ratio · sqrt2),115.45079179356325,1254.5492082064368,0.9157293490557933,125.45492082064368
proton_electron_mass_ratio,phi,1836.1526734215265,1.618033988749895,c / (proton_electron_mass_ratio · phi),100.90769209818319,1269.0923079018169,0.926344750293297,126.90923079018168
proton_electron_mass_ratio,sqrt3,1836.1526734215265,1.7320508075688772,c / (proton_electron_mass_ratio · sqrt3),94.26517676484319,1275.734823235157,0.9311933016315014,127.57348232351569
proton_electron_mass_ratio,sqrt5,1836.1526734215265,2.23606797749979,c / (proton_electron_mass_ratio · sqrt5),73.0174919475072,1296.982508052493,0.9467025606222575,129.6982508052493
proton_electron_mass_ratio,phi_squared,1836.1526734215265,2.618033988749895,c / (proton_electron_mass_ratio · phi_squared),62.3643834429864,1307.6356165570137,0.9544785522313969,130.76356165570138
proton_electron_mass_ratio,e,1836.1526734215265,2.718281828459045,c / (proton_electron_mass_ratio · e),60.06443990898699,1309.935560091013,0.9561573431321263,130.9935560091013
proton_electron_mass_ratio,pi,1836.1526734215265,3.141592653589793,c / (proton_electron_mass_ratio · pi),51.971115782500966,1318.0288842174991,0.9620648789908752,131.8028884217499
proton_electron_mass_ratio,phi_cubed,1836.1526734215265,4.23606797749979,c / (proton_electron_mass_ratio · phi_cubed),38.54330865519679,1331.4566913448032,0.9718661980619001,133.14566913448033
