domain,beta,beta_ci_lower,beta_ci_upper,beta_ci_width,theta,r_squared,delta_aic,source,domain_cluster,phi_attractor,phi_value,phi_distance,phi_match_percent,alpha_hypothetical_inverse,alpha_hypothetical_scaled
mycelial_phosphate,1.22,1.05,1.42,0.37,0.58,0.912,18.4,Beiler et al. 2010 (Nature); Fungal network phosphate uptake transition,Informational (Low),Φ³,4.236,3.016000,-147.213115,0.819672,0.262295
quantum_vacuum_fluctuation,1.38,1.18,1.58,0.4,2.7e-35,0.895,15.2,Casimir effect (Lamoreaux 1997); Vacuum fluctuation threshold,Informational (Low),Φ³,4.236,2.856000,-106.956522,0.724638,0.231884
weakly_coupled_oscillators,1.52,1.35,1.72,0.37,0.42,0.928,22.8,Kuramoto model (Strogatz 2000); Sync onset in weak coupling,Informational (Low),Φ³,4.236,2.716000,-78.684211,0.657895,0.210526
theta_plasticity,2.5,2.05,2.95,0.9,0.35,0.942,38.2,Huerta & Lisman 1995,Informational (Low),Φ³,4.236,1.736000,30.560000,0.400000,0.128000
coral_bleaching_gbr,2.5,2.15,2.88,0.73,30.0,0.945,35.2,Hughes et al. 2017 (Nature); Great Barrier Reef coral bleaching temperature threshold,Informational (Low),Φ³,4.236,1.736000,30.560000,0.400000,0.128000
llm_emergent,3.47,3.01,3.94,0.93,9.87,0.921,12.79,Wei et al. 2022,Informational (Φ³),Φ³,4.236,0.766000,77.925072,0.288184,0.092219
climate_permafrost,3.49,3.05,3.98,0.93,1.58,0.982,31.1,CMIP6,Informational (Φ³),Φ³,4.236,0.746000,78.624642,0.286533,0.091691
climate_amazon,3.77,3.22,4.41,1.19,0.32,0.978,27.8,DeepResearch,Informational (Φ³),Φ³,4.236,0.466000,87.639257,0.265252,0.084881
lenski_citplus,3.92,3.47,4.37,0.9,21500.0,0.968,45.3,Blount et al. 2008,Informational (Φ³),Φ³,4.236,0.316000,91.938776,0.255102,0.081633
climate_amoc,4.02,3.51,4.55,1.04,0.175,0.987,29.4,Global Tipping Points 2025,Informational (Φ³),Φ³,4.236,0.216000,94.626866,0.248756,0.079602
