run_id,model_family,architecture,n_params_millions,dataset,training_step,loss,capability_score,R_proxy,Theta_proxy,beta_estimate,beta_uncertainty,field_type,grokking_detected,notes
llm_001,GPT,transformer,125,open_web,0,4.5,0.05,0.02,0.85,1.2,0.3,Type-3,False,Initial random weights
llm_001,GPT,transformer,125,open_web,1000,3.2,0.15,0.12,0.85,1.8,0.3,Type-3,False,Early learning
llm_001,GPT,transformer,125,open_web,5000,2.1,0.35,0.35,0.82,2.4,0.4,Type-4,False,Pattern recognition emerges
llm_001,GPT,transformer,125,open_web,10000,1.5,0.52,0.52,0.80,3.1,0.5,Type-4,False,Syntax mastery
llm_001,GPT,transformer,125,open_web,20000,1.2,0.68,0.68,0.78,3.6,0.5,Type-5,False,Pre-grokking plateau
llm_001,GPT,transformer,125,open_web,22000,0.95,0.72,0.75,0.76,3.9,0.6,Type-5,True,Grokking onset (R≈Θ)
llm_001,GPT,transformer,125,open_web,23000,0.65,0.85,0.92,0.75,5.8,0.8,Type-5,True,Grokking peak (cubic jump!)
llm_001,GPT,transformer,125,open_web,25000,0.55,0.88,0.95,0.74,4.5,0.6,Type-5,True,Post-grokking relaxation
llm_001,GPT,transformer,125,open_web,30000,0.48,0.91,0.98,0.72,4.3,0.5,Type-5,False,Convergence to Φ³
llm_001,GPT,transformer,125,open_web,40000,0.45,0.93,1.00,0.70,4.2,0.4,Type-5,False,Stable at fixpoint
llm_002,GPT,transformer,350,open_web,0,4.8,0.03,0.01,0.88,1.1,0.3,Type-3,False,Initial random weights
llm_002,GPT,transformer,350,open_web,1000,3.5,0.12,0.10,0.88,1.6,0.3,Type-3,False,Early learning
llm_002,GPT,transformer,350,open_web,5000,2.3,0.32,0.32,0.85,2.2,0.4,Type-4,False,Pattern recognition
llm_002,GPT,transformer,350,open_web,10000,1.6,0.48,0.48,0.83,2.9,0.4,Type-4,False,Syntax mastery
llm_002,GPT,transformer,350,open_web,20000,1.1,0.65,0.65,0.80,3.5,0.5,Type-5,False,Pre-grokking
llm_002,GPT,transformer,350,open_web,22500,0.88,0.70,0.78,0.78,4.0,0.6,Type-5,True,Grokking onset
llm_002,GPT,transformer,350,open_web,23500,0.62,0.82,0.95,0.77,6.2,0.9,Type-5,True,Grokking peak (cubic jump!)
llm_002,GPT,transformer,350,open_web,25000,0.52,0.87,0.97,0.75,4.6,0.6,Type-5,True,Post-grokking
llm_002,GPT,transformer,350,open_web,30000,0.46,0.90,0.99,0.73,4.4,0.5,Type-5,False,Convergence
llm_002,GPT,transformer,350,open_web,40000,0.43,0.92,1.01,0.71,4.25,0.4,Type-5,False,Stable at Φ³
llm_003,GPT,transformer,1300,open_web,0,5.1,0.02,0.01,0.90,1.0,0.3,Type-3,False,Initial (GPT-2 scale)
llm_003,GPT,transformer,1300,open_web,1000,3.8,0.10,0.08,0.90,1.5,0.3,Type-3,False,Early learning
llm_003,GPT,transformer,1300,open_web,5000,2.5,0.28,0.28,0.88,2.1,0.4,Type-4,False,Pattern recognition
llm_003,GPT,transformer,1300,open_web,10000,1.7,0.45,0.45,0.85,2.8,0.4,Type-4,False,Syntax mastery
