timestamp,stimulus_complexity_index,hippocampal_replay_amplitude,transformer_activation_pattern,coherence_metric,condition
2024-01-01T10:00:00,0.15,0.42,2.8,0.35,baseline
2024-01-01T10:00:02,0.22,0.58,3.2,0.48,baseline
2024-01-01T10:00:04,0.38,0.75,3.9,0.65,low_complexity
2024-01-01T10:00:06,0.45,0.88,4.5,0.78,low_complexity
2024-01-01T10:00:08,0.52,1.12,5.2,0.85,medium_complexity
2024-01-01T10:00:10,0.61,1.35,5.8,0.92,medium_complexity
2024-01-01T10:00:12,0.72,1.58,6.5,0.95,high_complexity
2024-01-01T10:00:14,0.85,1.82,7.2,0.97,high_complexity
2024-01-01T10:00:16,0.68,1.45,6.1,0.89,medium_complexity
2024-01-01T10:00:18,0.42,0.92,4.2,0.72,low_complexity
2024-01-01T10:00:20,0.28,0.65,3.5,0.52,baseline
2024-01-01T10:00:22,0.18,0.48,2.9,0.38,baseline
