index,amplitude
0,0.000246
1,0.209556
2,0.238912
3,0.248120
4,0.451416
5,0.439659
6,0.722165
7,1.025037
8,0.679604
9,0.649955
10,0.844938
11,0.771187
12,0.657499
13,0.375122
14,0.473085
15,0.533359
16,0.042899
17,0.143625
18,-0.212623
19,-0.146587
20,-0.300993
21,-0.011264
22,-0.237979
23,0.058941
24,0.031943
25,-0.037386
26,-0.503945
27,-0.112426
28,-0.025211
29,-0.013092
30,-0.373381
31,-0.206871
32,-0.363326
33,-0.396916
34,-0.099563
35,-0.555805
36,-0.485439
37,-0.384338
38,-0.753136
39,-0.722150
40,-0.724877
41,-0.761294
42,-1.023056
43,-0.741766
44,-0.438372
45,-0.947417
46,-0.370474
47,-0.402368
48,-0.422034
49,0.250276
50,0.152452
51,-0.090051
52,0.308643
53,0.541577
54,0.504594
55,0.774570
56,0.696833
57,0.890444
58,1.065749
59,0.638918
60,0.787597
61,0.607148
62,0.661870
63,0.323777
64,0.363075
65,0.355059
66,0.491495
67,0.464193
68,-0.097084
69,-0.047608
70,0.196735
71,-0.362730
72,-0.077123
73,-0.014770
74,0.251996
75,0.137881
76,-0.066036
77,-0.078403
78,-0.065550
79,0.268952
80,-0.152959
81,-0.172056
82,-0.097104
83,-0.259303
84,-0.351199
85,-0.617112
86,-0.481239
87,-0.649932
88,-0.403190
89,-0.569192
90,-0.751798
91,-0.640374
92,-0.846019
93,-0.546569
94,-0.711216
95,-0.521312
96,-0.800529
97,-0.356903
98,-0.631381
99,-0.556873
100,-0.060895
101,-0.030179
102,0.326551
103,0.875190
104,0.376006
105,0.513199
106,0.751217
107,0.855597
108,0.742764
109,0.732864
110,0.887462
111,0.803791
112,0.429681
113,0.545380
114,0.485992
115,0.183401
116,0.363710
117,0.063557
118,0.362035
119,0.149869
120,0.085215
121,-0.082452
122,-0.008211
123,-0.394861
124,-0.225689
125,0.072568
126,-0.426306
127,0.164634
128,-0.364730
129,0.115594
130,-0.236454
131,0.044478
132,-0.141432
133,-0.542516
134,-0.061913
135,-0.105957
136,-0.492096
137,-0.615999
138,-0.668389
139,-0.894840
140,-0.527252
141,-0.882629
142,-0.788283
143,-0.915653
144,-0.835351
145,-0.893533
146,-0.290937
147,-0.457056
148,-0.100556
149,-0.147142
150,-0.138881
151,0.084470
152,0.181694
153,0.427831
154,0.467297
155,0.578004
156,0.434421
157,0.595625
158,1.108856
159,0.639804
160,0.536151
161,0.767275
162,0.917870
163,0.270411
164,0.437231
165,0.267888
166,-0.040462
167,0.382134
168,0.162933
169,0.125609
170,-0.083108
171,0.126711
172,-0.092349
173,-0.023893
174,-0.221059
175,-0.243221
176,0.266513
177,-0.106109
178,0.042825
179,-0.042512
180,-0.155583
181,-0.212912
182,-0.041605
183,-0.295522
184,-0.342031
185,-0.389854
186,-0.243633
187,-0.425114
188,-0.559896
189,-0.812524
190,-1.023363
191,-0.584144
192,-0.584755
193,-0.785136
194,-0.601760
195,-0.481699
196,-0.376114
197,-0.241962
198,-0.384864
199,0.153188
200,-0.249319
201,0.322152
202,0.392526
203,0.600963
204,0.918152
205,0.934877
206,0.481101
207,0.419260
208,0.941423
209,0.571048
210,0.744488
211,0.867755
212,0.307657
213,0.139220
214,0.530795
215,0.403176
216,0.262582
217,0.242856
218,-0.004481
219,-0.191379
220,0.034023
221,-0.158588
222,-0.313186
223,0.105824
224,-0.011687
225,0.081306
226,-0.198452
227,-0.136300
228,-0.215319
229,-0.213082
230,-0.028273
231,-0.267915
232,-0.096409
233,-0.167197
234,0.093290
235,-0.672856
236,-0.301355
237,-0.579114
238,-0.639222
239,-0.989782
240,-0.839008
241,-0.625411
242,-0.794541
243,-0.740783
244,-0.768280
245,-0.407074
246,-0.546645
247,-0.866322
248,-0.432155
249,-0.543566
250,-0.650288
251,0.043784
252,0.560452
253,0.435663
254,0.307841
255,0.449848
256,0.936259
257,0.788519
258,0.787645
259,0.763358
260,0.754650
261,0.860891
262,0.746929
263,0.604357
264,0.270361
265,0.496520
266,0.174893
267,0.453918
268,-0.086588
269,0.083796
270,0.065883
271,-0.229175
272,0.359905
273,0.296769
274,-0.092124
275,0.154344
276,0.075142
277,-0.527400
278,0.034569
279,-0.048023
280,-0.050711
281,-0.326695
282,-0.221491
283,-0.270800
284,-0.074123
285,-0.327413
286,-0.480046
287,-0.255422
288,-0.747466
289,-0.777696
290,-1.110320
291,-0.460229
292,-0.585178
293,-0.573625
294,-0.576357
295,-0.615958
296,-0.499253
297,-0.476640
298,-0.334460
299,-0.138946
300,0.302366
301,0.260944
302,0.282048
303,0.310360
304,0.415351
305,0.958529
306,0.811474
307,0.770504
308,0.708809
309,0.552240
310,0.733597
311,0.874541
312,0.557909
313,0.515768
314,0.434728
315,0.416217
316,-0.006860
317,0.188069
318,-0.003257
319,0.288237
320,-0.086766
321,0.151163
322,0.320398
323,-0.058031
324,-0.119722
325,0.038286
326,-0.000999
327,-0.203411
328,0.076673
329,0.367349
330,-0.118977
331,-0.151895
332,-0.376608
333,-0.171331
334,-0.561138
335,-0.615685
336,-0.223002
337,-0.742307
338,-0.420144
339,-0.394938
340,-0.695104
341,-0.663372
342,-0.387595
343,-0.796340
344,-0.828737
345,-0.908634
346,-0.534009
347,-0.130410
348,-0.101821
349,-0.338225
350,-0.171075
351,0.048973
352,0.352194
353,0.385177
354,0.585241
355,0.697336
356,0.650382
357,0.748959
358,0.819363
359,0.757256
360,0.847674
361,1.073985
362,0.754810
363,0.572378
364,0.141711
365,0.471890
366,-0.077593
367,-0.046658
368,0.338550
369,0.252567
370,0.037366
371,-0.306248
372,-0.058759
373,-0.131060
374,0.127961
375,0.451546
376,0.042793
377,-0.160550
378,-0.249621
379,-0.046973
380,-0.102713
381,-0.341624
382,-0.144351
383,-0.465331
384,-0.089321
385,-0.181768
386,-0.261985
387,-0.656026
388,-0.533512
389,-0.726224
390,-0.824732
391,-0.841879
392,-1.037988
393,-1.045767
394,-0.551273
395,-0.676235
396,-0.499066
397,-0.225897
398,-0.640367
399,-0.306633
400,0.035067
401,0.228226
402,0.218325
403,0.632075
404,0.584430
405,0.395312
406,0.523984
407,0.918088
408,0.870811
409,0.394238
410,1.016512
411,0.819415
412,0.905085
413,0.484476
414,0.419794
415,0.169007
416,0.819128
417,0.200058
418,0.485128
419,-0.018138
420,0.100122
421,-0.298517
422,-0.061063
423,0.201439
424,-0.249756
425,0.214446
426,0.066855
427,-0.213478
428,-0.115830
429,-0.127567
430,-0.077258
431,-0.218549
432,-0.333079
433,-0.296066
434,-0.517120
435,-0.652204
436,-0.488570
437,-0.384641
438,-0.942290
439,-0.699108
440,-0.876961
441,-0.969479
442,-0.607357
443,-0.860628
444,-0.410476
445,-0.793956
446,-0.465050
447,-0.471695
448,-0.444544
449,-0.032272
450,-0.030997
451,0.270449
452,0.284282
453,0.209076
454,0.521937
455,0.648379
456,0.901829
457,0.575740
458,0.770179
459,0.429674
460,0.877268
461,0.483513
462,0.275144
463,0.549373
464,0.700072
465,0.089409
466,0.094135
467,0.086494
468,-0.058278
469,0.187206
470,-0.094119
471,-0.108549
472,0.132172
473,-0.146415
474,0.087149
475,-0.194277
476,-0.243021
477,-0.371778
478,0.356730
479,-0.099806
480,-0.018568
481,-0.117530
482,-0.135629
483,-0.225211
484,0.069901
485,-0.602084
486,-0.790427
487,-0.763608
488,-0.903358
489,-0.550417
490,-0.582894
491,-0.966313
492,-1.056132
493,-0.827953
494,-0.431912
495,-1.201902
496,-0.437025
497,-0.641390
498,-0.085667
499,-0.365392
500,-0.057083
501,-0.151449
502,0.098288
503,0.703407
504,0.706466
505,0.557654
506,0.536102
507,0.378233
508,0.699314
509,0.767870
510,0.730159
511,0.681051
