observer,label,microstates,conditional_entropy_bits,bayes_cell_error_fraction
block_counts,0:0:4:4,1,0.0,0.0
block_counts,0:1:3:4,16,4.0,0.125
block_counts,0:1:4:3,16,4.0,0.125
block_counts,0:2:2:4,36,5.169925001442312,0.25
block_counts,0:2:3:3,96,6.584962500721156,0.25
block_counts,0:2:4:2,36,5.169925001442312,0.25
block_counts,0:3:1:4,16,4.0,0.125
block_counts,0:3:2:3,96,6.584962500721156,0.25
block_counts,0:3:3:2,96,6.584962500721156,0.25
block_counts,0:3:4:1,16,4.0,0.125
block_counts,0:4:0:4,1,0.0,0.0
block_counts,0:4:1:3,16,4.0,0.125
block_counts,0:4:2:2,36,5.169925001442312,0.25
block_counts,0:4:3:1,16,4.0,0.125
block_counts,0:4:4:0,1,0.0,0.0
block_counts,1:0:3:4,16,4.0,0.125
block_counts,1:0:4:3,16,4.0,0.125
block_counts,1:1:2:4,96,6.584962500721156,0.25
block_counts,1:1:3:3,256,8.0,0.25
block_counts,1:1:4:2,96,6.584962500721156,0.25
block_counts,1:2:1:4,96,6.584962500721156,0.25
block_counts,1:2:2:3,576,9.169925001442312,0.375
block_counts,1:2:3:2,576,9.169925001442312,0.375
block_counts,1:2:4:1,96,6.584962500721156,0.25
block_counts,1:3:0:4,16,4.0,0.125
block_counts,1:3:1:3,256,8.0,0.25
block_counts,1:3:2:2,576,9.169925001442312,0.375
block_counts,1:3:3:1,256,8.0,0.25
block_counts,1:3:4:0,16,4.0,0.125
block_counts,1:4:0:3,16,4.0,0.125
block_counts,1:4:1:2,96,6.584962500721156,0.25
block_counts,1:4:2:1,96,6.584962500721156,0.25
block_counts,1:4:3:0,16,4.0,0.125
block_counts,2:0:2:4,36,5.169925001442312,0.25
block_counts,2:0:3:3,96,6.584962500721156,0.25
block_counts,2:0:4:2,36,5.169925001442312,0.25
block_counts,2:1:1:4,96,6.584962500721156,0.25
block_counts,2:1:2:3,576,9.169925001442312,0.375
block_counts,2:1:3:2,576,9.169925001442312,0.375
block_counts,2:1:4:1,96,6.584962500721156,0.25
block_counts,2:2:0:4,36,5.169925001442312,0.25
block_counts,2:2:1:3,576,9.169925001442312,0.375
block_counts,2:2:2:2,1296,10.339850002884624,0.5
block_counts,2:2:3:1,576,9.169925001442312,0.375
block_counts,2:2:4:0,36,5.169925001442312,0.25
block_counts,2:3:0:3,96,6.584962500721156,0.25
block_counts,2:3:1:2,576,9.169925001442312,0.375
block_counts,2:3:2:1,576,9.169925001442312,0.375
block_counts,2:3:3:0,96,6.584962500721156,0.25
block_counts,2:4:0:2,36,5.169925001442312,0.25
block_counts,2:4:1:1,96,6.584962500721156,0.25
block_counts,2:4:2:0,36,5.169925001442312,0.25
block_counts,3:0:1:4,16,4.0,0.125
block_counts,3:0:2:3,96,6.584962500721156,0.25
block_counts,3:0:3:2,96,6.584962500721156,0.25
block_counts,3:0:4:1,16,4.0,0.125
block_counts,3:1:0:4,16,4.0,0.125
block_counts,3:1:1:3,256,8.0,0.25
block_counts,3:1:2:2,576,9.169925001442312,0.375
block_counts,3:1:3:1,256,8.0,0.25
block_counts,3:1:4:0,16,4.0,0.125
block_counts,3:2:0:3,96,6.584962500721156,0.25
block_counts,3:2:1:2,576,9.169925001442312,0.375
block_counts,3:2:2:1,576,9.169925001442312,0.375
block_counts,3:2:3:0,96,6.584962500721156,0.25
block_counts,3:3:0:2,96,6.584962500721156,0.25
block_counts,3:3:1:1,256,8.0,0.25
block_counts,3:3:2:0,96,6.584962500721156,0.25
block_counts,3:4:0:1,16,4.0,0.125
block_counts,3:4:1:0,16,4.0,0.125
block_counts,4:0:0:4,1,0.0,0.0
block_counts,4:0:1:3,16,4.0,0.125
block_counts,4:0:2:2,36,5.169925001442312,0.25
block_counts,4:0:3:1,16,4.0,0.125
block_counts,4:0:4:0,1,0.0,0.0
block_counts,4:1:0:3,16,4.0,0.125
block_counts,4:1:1:2,96,6.584962500721156,0.25
block_counts,4:1:2:1,96,6.584962500721156,0.25
block_counts,4:1:3:0,16,4.0,0.125
block_counts,4:2:0:2,36,5.169925001442312,0.25
block_counts,4:2:1:1,96,6.584962500721156,0.25
block_counts,4:2:2:0,36,5.169925001442312,0.25
block_counts,4:3:0:1,16,4.0,0.125
block_counts,4:3:1:0,16,4.0,0.125
block_counts,4:4:0:0,1,0.0,0.0
block_counts_boundary,0:0:4:4:8,1,0.0,0.0
block_counts_boundary,0:1:3:4:12,16,4.0,0.125
block_counts_boundary,0:1:4:3:12,12,3.584962500721156,0.125
block_counts_boundary,0:1:4:3:14,4,2.0,0.125
block_counts_boundary,0:2:2:4:12,16,4.0,0.25
block_counts_boundary,0:2:2:4:14,16,4.0,0.25
block_counts_boundary,0:2:2:4:16,4,2.0,0.25
block_counts_boundary,0:2:3:3:12,8,3.0,0.25
block_counts_boundary,0:2:3:3:14,36,5.169925001442312,0.25
block_counts_boundary,0:2:3:3:16,40,5.321928094887363,0.25
block_counts_boundary,0:2:3:3:18,12,3.584962500721156,0.25
block_counts_boundary,0:2:4:2:12,4,2.0,0.25
block_counts_boundary,0:2:4:2:14,8,3.0,0.25
block_counts_boundary,0:2:4:2:16,22,4.459431618637297,0.25
block_counts_boundary,0:2:4:2:20,2,1.0,0.25
block_counts_boundary,0:3:1:4:12,16,4.0,0.125
block_counts_boundary,0:3:2:3:12,8,3.0,0.25
block_counts_boundary,0:3:2:3:14,36,5.169925001442312,0.25
block_counts_boundary,0:3:2:3:16,40,5.321928094887363,0.25
block_counts_boundary,0:3:2:3:18,12,3.584962500721156,0.25
block_counts_boundary,0:3:3:2:14,16,4.0,0.25
block_counts_boundary,0:3:3:2:16,40,5.321928094887363,0.25
block_counts_boundary,0:3:3:2:18,32,5.0,0.25
block_counts_boundary,0:3:3:2:20,8,3.0,0.25
block_counts_boundary,0:3:4:1:16,12,3.584962500721156,0.125
block_counts_boundary,0:3:4:1:18,4,2.0,0.125
block_counts_boundary,0:4:0:4:8,1,0.0,0.0
block_counts_boundary,0:4:1:3:12,12,3.584962500721156,0.125
block_counts_boundary,0:4:1:3:14,4,2.0,0.125
block_counts_boundary,0:4:2:2:12,4,2.0,0.25
block_counts_boundary,0:4:2:2:14,8,3.0,0.25
block_counts_boundary,0:4:2:2:16,22,4.459431618637297,0.25
block_counts_boundary,0:4:2:2:20,2,1.0,0.25
block_counts_boundary,0:4:3:1:16,12,3.584962500721156,0.125
block_counts_boundary,0:4:3:1:18,4,2.0,0.125
block_counts_boundary,0:4:4:0:16,1,0.0,0.0
block_counts_boundary,1:0:3:4:12,12,3.584962500721156,0.125
block_counts_boundary,1:0:3:4:14,4,2.0,0.125
block_counts_boundary,1:0:4:3:12,16,4.0,0.125
block_counts_boundary,1:1:2:4:12,8,3.0,0.25
block_counts_boundary,1:1:2:4:14,36,5.169925001442312,0.25
block_counts_boundary,1:1:2:4:16,40,5.321928094887363,0.25
block_counts_boundary,1:1:2:4:18,12,3.584962500721156,0.25
block_counts_boundary,1:1:3:3:12,12,3.584962500721156,0.25
block_counts_boundary,1:1:3:3:14,48,5.584962500721156,0.25
block_counts_boundary,1:1:3:3:16,136,7.087462841250339,0.25
block_counts_boundary,1:1:3:3:18,48,5.584962500721156,0.25
block_counts_boundary,1:1:3:3:20,12,3.584962500721156,0.25
block_counts_boundary,1:1:4:2:12,8,3.0,0.25
block_counts_boundary,1:1:4:2:14,36,5.169925001442312,0.25
block_counts_boundary,1:1:4:2:16,40,5.321928094887363,0.25
block_counts_boundary,1:1:4:2:18,12,3.584962500721156,0.25
block_counts_boundary,1:2:1:4:12,8,3.0,0.25
block_counts_boundary,1:2:1:4:14,36,5.169925001442312,0.25
block_counts_boundary,1:2:1:4:16,40,5.321928094887363,0.25
block_counts_boundary,1:2:1:4:18,12,3.584962500721156,0.25
block_counts_boundary,1:2:2:3:12,24,4.584962500721156,0.375
block_counts_boundary,1:2:2:3:14,48,5.584962500721156,0.375
block_counts_boundary,1:2:2:3:16,216,7.754887502163468,0.375
block_counts_boundary,1:2:2:3:18,128,7.0,0.375
block_counts_boundary,1:2:2:3:20,136,7.087462841250339,0.375
block_counts_boundary,1:2:2:3:22,16,4.0,0.375
